"SKU","Short Description","Vendor Number","Vendor Name","Model Number","Primary UPC","UOM","Max Qty","Retail Price","Retail Margin","Member Retail","Mult 1","Cost of Mult 1","Mult 2","Cost of Mult 2","Mult 3","Cost of Mult 3","Salecode","Performance Units","Performance Dollars","Page Number","Promo Retail","Promo Mult 1","Promo Cost of Mult 1","Promo Mult 3","Promo Cost of Mult 3","Status","Substitutes","Alternate UPC","UPS","Sensitivity","Name","Long Description","length","color","Country of Origin","Prod Class_Category Description","Prod Class Category ID","Prod Class_Department Description","Prod Class Department ID","Prod Class_Product Group Description","Prod Class Product Group ID","Prod Class_SubCategoryDescription","Prod Class SubCategory ID","Brand","Primary Central Stock Warehouse","Secondary Central Stock Warehouse"
"704300","1 CU FT GARDEN SOIL","7452","Sun Gro Horticulture","1411603.CFL001P","00064277069177","Bag","210","11.99","45.613","9.79","70","6.521","","","1","7.254","","C","C","","","","","","","Promotional","","","true","Commodity","Black Gold Garden Soil","Garden soil regionally formulated by professional horticulturists to best suit local garden soils. Ideal for use in vegetable gardens, flower gardens, or for flowering bedding plants and small fruits. Improves soil structure by adding organic matter. Feeds plants for up to 6 months with controlled release fertilizer. 0.05 - 0.02 - 0.05 formulation.","","","United States","Soils & Soil Conditioners","5I6Q","Lawn & Garden","LAWN","Garden Soil","58C4","Potting and Top Soils","13XM","Black Gold","",""
"647784","6OZ ROOT BEER DROPS","3300","Claeys Candy Inc","686","00076067006859","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006863","true","Mod Awareness","Claeys 6 Oz. Old Fashion Root Beer Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"638056","6OZ WATERMELON DROPS","3300","Claeys Candy Inc","681","00076067006804","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006818","true","Mod Awareness","Claeys 6 Oz. Old Fashion Watermelon Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"623398","6OZ CINNAMON DROPS","3300","Claeys Candy Inc","676","00076067006750","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006764","true","Mod Awareness","Claeys 6 Oz. Old Fashion Cinnamon Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"621028","6OZ LICORICE DROPS","3300","Claeys Candy Inc","671","00076067006705","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006719","true","Mod Awareness","Claeys 6 Oz. Old Fashion Licorice Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"620357","6OZ WILD CHERRY DROPS","3300","Claeys Candy Inc","651","00076067006507","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006511","true","Mod Awareness","Claeys 6 Oz. Old Fashion Wild Cherry Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"619306","6OZ LEMON DROPS","3300","Claeys Candy Inc","631","00076067006309","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006313","true","Mod Awareness","Claeys 6 Oz. Old Fashion Natural Lemon Flavor Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"614398","6OZ GREEN APPLE DROPS","3300","Claeys Candy Inc","691","00076067006903","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006917","true","Mod Awareness","Claeys 6 Oz. Old Fashion Green Apple Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"613051","6OZ HOREHOUND DROPS","3300","Claeys Candy Inc","611","00076067006101","Each","","1.99","31.910","","24","1.355","","","","","","N/A","N/A","","","","","","","Promotional","","10076067006115","true","Mod Awareness","Claeys 6 Oz. Old Fashion Natural Horehound Herbal Hard Candy","Claeys Old Fashioned Hard Candies have been made in South Bend, IN since 1919. Fat free.","","","United States","Candy & Snacks","YWV7","Food & Snacks","FOOD","Candy","Z66Z","Candy & Cookies","4P1G","Claeys","",""
"603629","121OZ OUTDOOR BLEACH","4233","Clorox/Home Cleaning","32437","00044600324371","Each","","11.59","15.039","15.99","3","9.847","","","","","","A","A","","","","","","","Promotional","","10044600324378","false","High Awareness","Clorox Pro Results Outdoor Bleach","Clorox Concentrated Outdoor Bleach makes it easy to tackle outdoor stains, dirt and grime, mold, mildew and algae on patio furniture, decks, fences, driveways, house siding and more with this outdoor bleach cleaner. This concentrated bleach has more whitening and disinfecting power versus the previous Clorox Outdoor Bleach. Get more cleaning power per drop compared to the previous Clorox Outdoor Bleach and reduce the amount of bleach required for cleaning. Bring Americas #1 bleach outside and make cleaning and removing outdoor stains a breeze. Great for use in a pump sprayer, no mixing or measuring required. The thicker formula reduces splashing and spilling, so that you can tackle any outdoor mess with less mess. Give your home some curb appeal with the power of Clorox. A little goes a long way with Clorox Pro Results Outdoor Bleach.","","","United States","Cleaning Chemicals","W527","Cleaning Supplies","CLNG","Bleach","11K8","Multi-Purpose Cleaners","6YV6","Clorox","",""
