Order #,PO #,Order Method,Order Placed By,Date/Time Placed,Ordering Store,Ship To Name,Ship To Address,Customer PO #,Order Status,Updated,Estimated Ship Date,Delivery From,Ship By,Type,Shipping Account,Same Day Ship,Freight Fee Type,Line Count,SKU,UPC,Model,Short Product Description,Qty Ordered,Qty Allocated,Qty Cancelled,Qty Filled,Suggested Retail,Your Retail,Cost,Ext Cost,Future Reserve,Promo/Bulletin,POG Number,Item Status
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204609,00084100004489,RV-50-7,Hy-Ko Vinyl 3 In. Reflective Adhesive Number Seven,10,0,0,0,1.79,1.79,0.478,4.78, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204919,00084100004731,RV-50W,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, W",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,205584,00029069020507,MM-5N,"Hy-Ko 3 In. Polyester Adhesive Number Set, 26 Numbers",10,0,0,0,4.99,4.99,1.968,19.68, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204684,00084100004564,RV-50E,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, E",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,203184,00029069106263,TA-1,Hy-Ko Slow Moving Vehicle Emblem,4,0,0,0,25.99,25.99,15.39,61.56, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,207640,00029069001513,LGS-2,"Hy-Ko Corrugated Plastic Sign, Garage Sale",5,0,0,0,11.99,11.99,4.761,23.805, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204668,00084100004540,RV-50C,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, C",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204765,00084100004632,RV-50L,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, L",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,214366,00029069309626,30652-5,Hy-Ko 4 In. Reflective Plastic Number 2 ,5,0,0,0,2.49,2.49,0.963,4.815, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204676,00084100004557,RV-50D,"Hy-Ko Vinyl 3 In. Reflective Adhesive Letter, D",10,0,0,0,1.49,1.49,0.454,4.54, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,228244,00029069224615,22461,"Hy-Ko 9 x 18 Neon Arrow Sign With 2 Poles, Garage Sale",5,0,0,0,5.79,5.79,2.579,12.895, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,207546,00029069030117,3011,"Hy-Ko 9x12 Plastic Sign, No Hunting or Trespassing",10,0,0,0,1.99,1.99,0.487,4.87, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,241713,00029069009021,RS-901,"Hy-Ko Corrugated Plastic Sign, House For Rent",5,0,0,0,11.99,11.99,6.123,30.615, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,214821,00029069309633,30653-5,Hy-Ko 4 In. Reflective Plastic Number 3 ,5,0,0,0,2.49,2.49,0.963,4.815, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,241731,00029069001582,MYO-1,Hy-Ko Make-It-Yourself Sign Kit,3,0,0,0,6.79,6.79,3.342,10.026, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,235213,00029069291204,20320,Hy-Ko Farm Safety Notice Sign,5,0,0,0,4.79,4.79,1.794,8.97, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,246018,00029069008482,848,"Hy-Ko 10x14 Day-Glo Aluminum Sign, Private Property No Trespassing",12,0,0,0,3.59,3.59,1.244,14.928, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,211929,00029069110550,HW-22,Hy-Ko Do Not Enter Sign,2,0,0,0,19.99,19.99,9.863,19.726, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,232219,00029069224042,22404,Hy-Ko 9 x 13 Neon Garage Sale Sign,10,0,0,0,2.19,2.19,0.794,7.94, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,204552,00084100004434,RV-50-2,Hy-Ko Vinyl 3 In. Reflective Adhesive Number Two,10,0,0,0,1.79,1.79,0.464,4.64, - ,4972,20-451,145
22945371,LNS26,Manual,,3/23/2026 12:15,3441,Superior Hardware LLC,"400 South First Street, Bangor, PA, US, 18013",,Hold,3/23/2026 12:17,6/18/2026,"Montgomery, NY",,Weekly Truck,, - ,,111,208242,00029069030025,3002,"Hy-Ko 9x12 Plastic Sign, Beware Of The Dog",10,0,0,0,1.99,1.99,0.487,4.87, - ,4972,20-451,145
