Promotion Name: March Digital and Ecommerce,,,"Original Order Start: November 17, 2025",,,,
"Start Date: March 1, 2026",,,"Original Order Deadline: December 19, 2025",,,,
"End Date: March 31, 2026",,,"Reorder Start: February 20, 2026",,,,
Sale Code: GL,,,"Reorder Deadline: April 9, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GL,,,,,,,
SKU,Description,Brand,Vendor Name,Regular Retail,Promo Retail,Promo Member Cost,Instant Rebate Amount
701619,3LB BLK BEAUTY ULT SEED,Jonathan Green,JONATHAN GREEN,$21.99,$17.99,$12.23,
701624,3LB SUN & SHADE SEED,Jonathan Green,JONATHAN GREEN,$19.99,$15.99,$11.94,
701630,5M VRIGRN+CRB PREVENTER,Jonathan Green,JONATHAN GREEN,$29.99,$25.99,$16.07,
702442,6CUFT STEEL WHEELBARROW,Truper,Truper SA de CV,$149.99,$119.97,$103.34,
702601,"15"" BYPASS LOPPER",Best Garden,DO IT BEST GS,$21.99,$12.99,$8.25,
703271,6CU FT STEEL WHEELBARROW,Marathon,MARASTAR LLC,$179.99,$149.97,$128.09,
703465,3LB DENSE SHADE SEED,Jonathan Green,JONATHAN GREEN,$19.99,$15.99,$11.82,
703492,3LB FULL SUN GRASS SEED,Jonathan Green,JONATHAN GREEN,$19.99,$15.99,$11.82,
704180,25LB PP STR/GRO CRUMBLE,ADM,ADM Animal Nutrition,$19.99,$14.99,$13.50,
704256,50LB PP STR/GRO CRUMBLE,ADM,ADM Animal Nutrition,$29.99,$29.99,$26.42,
704625,20LB OIL SUNFLOWER SEED,Best Garden,RED RIVER COMMOD,$17.99,$12.99,$11.64,
704890,32OZ CONC N LAWN ROUNDUP,Roundup,SCOTTS COMPANY,$21.99,$21.99,$19.52,
704894,32OZ RTS N LAWNS ROUNDUP,Roundup,SCOTTS COMPANY,$21.99,$21.99,$19.43,
704906,1G RTU N LAWN ROUNDUP,Roundup,SCOTTS COMPANY,$27.99,—,$26.30,
704910,"25"" DUALLINK BYPS LOPPER",Corona,CORONA CLIPPER,$39.99,$29.97,$25.80,
704912,1.25G N ROUNDUP REFILL,Roundup,SCOTTS COMPANY,$21.99,$21.99,$19.34,
704925,32OZ CONC S LAWN ROUNDUP,Roundup,SCOTTS COMPANY,$25.99,$25.99,$20.81,
704931,32OZ RTS S LAWNS ROUNDUP,Roundup,SCOTTS COMPANY,$26.99,$26.99,$21.20,
704940,1G RTU STH LAWNS ROUNDUP,Roundup,SCOTTS COMPANY,$29.99,$29.99,$26.69,
705205,128OZ PREMIX 50:1 FUEL,VP Racing Fuels,VP Racing Fuels Inc,$29.99,$25.19,$17.23,
705823,COMFORTGRIP CULTIVATOR,Corona,CORONA CLIPPER,$46.99,$34.97,$29.22,
707319,"8"" BYPASS PRUNER",Best Garden,DO IT BEST GS,$21.99,$14.99,$9.81,
707415,4# PREMIUM BLEND,Birdwatching Basics,RED RIVER COMMOD,$5.99,$4.00,$3.06,
707809,8OZ HUMMINGBIRD NECTAR,Perky-Pet,WOODSTREAM CORP,$3.79,$1.50,$1.27,
709123,10X20 BLUE MED DUTY TARP,Do it Best,Do it Best GS,$32.99,$23.09,$11.64,
709131,10X12 BLUE MED DUTY TARP,Do it Best,Do it Best GS,$19.99,$13.99,$6.97,
709223,10PK THE BETTER BUGTRAP,Intruder,INTRUDER INC,$6.99,$4.99,$3.56,
711171,4# CARDINAL BLEND,Birdwatching Basics,RED RIVER COMMOD,$5.99,$4.00,$3.06,
712039,5.5CU STEEL WHEELBARROW,Best Garden,Truper SA de CV,$84.99,$69.97,$59.31,
714149,4# SONGBIRD BLEND,Birdwatching Basics,RED RIVER COMMOD,$5.99,$4.00,$3.06,
717000,3# DELMRV GRASS SEED,Jonathan Green,JONATHAN GREEN,$21.99,$17.99,$12.23,
717077,TELESCOPING HEDGE SHEAR,Best Garden,DO IT BEST GS,$44.99,$24.97,$19.55,
718347,4# NUT & FRUIT BLEND,Birdwatching Basics,RED RIVER COMMOD,$6.99,$4.00,$3.06,
719799,5# MEAL WORM,Wonder,Strombergs Chickens,$42.99,$34.49,$27.95,
720397,"8.5"" ANVIL PRUNER",Fiskars,FISKARS,$21.49,$12.97,$10.59,
722760,M12 PRUNING SHEARS,Milwaukee,MILWAUKEE TOOL,$199.99,—,$138.73,
723374,2OZ CONCENT INSECTICIDE,Bengal,BENGAL PRODUCTS INC,$9.49,$7.49,$5.62,
723958,"2X24V 15"" STRING TRIMMER",Greenworks,Greenworks Tools,$169.99,$139.00,$126.52,
728358,1.3G EMJ CHICKEN WATERER,Stromberg's,Strombergs Chickens,$14.99,$9.99,$8.17,
728451,32OZ CNCT WD&GRSS KILLER,Roundup,SCOTTS COMPANY,$37.99,$35.99,$32.28,
728682,3# GLDNSTE CA GRASS SEED,Jonathan Green,JONATHAN GREEN,$21.99,$17.99,$12.23,
729526,3# KEYSTN GRASS SEED,Jonathan Green,JONATHAN GREEN,$21.99,$17.99,$12.23,
729789,4# FINCH BLEND,Birdwatching Basics,RED RIVER COMMOD,$5.99,$4.00,$3.06,
736810,3LB HEAT & DROUGHT SEED,Jonathan Green,JONATHAN GREEN,$21.99,$17.99,$12.23,
