Promotion Name: April Digital and Ecommerce,,,"Original Order Start: December 17, 2025",,,,
"Start Date: April 1, 2026",,,"Original Order Deadline: January 21, 2025",,,,
"End Date: April 30, 2026",,,"Reorder Start: March 25, 2026",,,,
Sale Code: GN,,,"Reorder Deadline: May 12, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GN,,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promotional Price,Promo Member Cost,Instant Rebate Amount
701630,5M VRIGRN+CRB PREVENTER,JONATHAN GREEN,Jonathan Green,$29.99,$25.99,$19.181,
701631,15M VRIGRN+CRB PREVENTER,JONATHAN GREEN,Jonathan Green,$74.99,$70.99,$49.142,
701632,5M VERI-GRN WEED & FEED,JONATHAN GREEN,Jonathan Green,$29.99,$26.99,$19.415,
701634,15M VERI-GRN WEED & FEED,JONATHAN GREEN,Jonathan Green,$69.99,$66.99,$48.270,
701919,64OZ CLEAR RTU NECTAR,WOODSTREAM CORP,More Birds,$9.99,$4.50,$3.671,
702293,10LB SLCT SUNFLOWER SEED,RED RIVER COMMOD,Best Garden,$12.99,$9.00,$7.803,
703492,3LB FULL SUN GRASS SEED,JONATHAN GREEN,Jonathan Green,$19.99,$15.99,$13.127,
703594,32OZ RTS TB LAWN FOOD,SCOTTS COMPANY,Scotts,$23.99,$17.99,$15.072,
704027,GOATSKIN LARGE GLOVES,Harvest Lane Honey,Harvest Lane Honey,$21.99,$17.49,$14.738,
704039,BEEKEEPING VEIL,Harvest Lane Honey,Harvest Lane Honey,$19.99,$14.99,$11.686,
704387,32OZ RTS CHICKWD KILLER,SCOTTS COMPANY,Ortho,$21.99,$17.99,$15.511,
705294,"5/8""X50' FATMAX PRO HOSE",ORBIT,Stanley,$62.99,$39.97,$33.734,
705306,5/8X100' FATMAX PRO HOSE,ORBIT,Stanley,$94.99,$69.97,$58.828,
705709,24OZ RTU HOME BUG SPRAY,Maggies Farm,Maggie's Farm,$8.99,$6.99,$5.684,
707685,11-3/4OZ PNUT DLITE SUET,C AND S PRODUCTS INC,C&S,$2.49,$1.75,$1.501,
709780,LRG BEEKEEPING JACKET,Harvest Lane Honey,Harvest Lane Honey,$72.99,$59.99,$49.072,
710940,"1""X12""X150' PLTRY NET",Acorn and A P P,Acorn International,$54.99,$46.79,$38.489,
714506,3# BB TALL FESCUE SEED,JONATHAN GREEN,Jonathan Green,$24.99,$19.99,$11.069,
716977,3# SOUTH LAWN GRASS SEED,JONATHAN GREEN,Jonathan Green,$24.99,$19.99,$12.976,
717000,3# DELMRV GRASS SEED,JONATHAN GREEN,Jonathan Green,$21.99,$18.99,$13.930,
717043,LARGE BEEKEEPING SUIT,Harvest Lane Honey,Harvest Lane Honey,$89.99,$79.99,$70.535,
717326,RED PLASTIC GATE HANDLE,DARE PRODUCTS INC,Dare,$5.49,$3.99,$2.011,
718547,"55"" FIBRGLASS GARDEN HOE",DO IT BEST GS,Do it Best,$29.99,$14.97,$10.528,
720126,7# SOUTH LAWN GRASS SEED,JONATHAN GREEN,Jonathan Green,$44.99,$39.99,$31.117,
720254,"1""X24""X150' PLTRY NET",Acorn and A P P,Acorn International,$92.99,$78.99,$69.337,
723214,5# ORG GARDEN STRAW,Blue Mountain Hay,Blue Mountain Hay,$39.99,$29.99,$19.455,
724238,4PK ORGANIC NESTING PADS,Blue Mountain Hay,Blue Mountain Hay,$22.99,$20.49,$18.168,
725384,"1""X36""X150' PLTRY NET",Acorn and A P P,Acorn International,$139.99,$118.99,$104.654,
725923,16 TINE BOW RAKE,DO IT BEST GS,Do it Best,$29.99,$14.97,$11.548,
729526,3# KEYSTN GRASS SEED,JONATHAN GREEN,Jonathan Green,$21.99,$18.99,$13.930,
729685,64OZ RTU WD/GRASS KILLER,Spectrum Brands HG,Spectracide,$16.99,$14.99,$12.030,
731229,MED BEEKEEPING GLOVES,Harvest Lane Honey,Harvest Lane Honey,$24.99,$17.49,$15.574,
733717,32OZ RTU WEED&GRASS KILR,Spectrum Brands HG,Spectracide,$5.99,$3.99,$3.260,
733958,XL BEEKEEPING JACKET,Harvest Lane Honey,Harvest Lane Honey,$72.99,$59.99,$49.072,
736218,8QT BLACK BEAR POT MIX,SUN GRO HORTICULTURE,Sunshine,$9.99,$6.99,$6.292,
736287,LONG HDL RND PT SHOVEL,DO IT BEST GS,Do it Best,$29.99,$14.97,$11.572,
736295,LONG HDL SQ PT SHOVEL,DO IT BEST GS,Do it Best,$29.99,$14.97,$11.654,
736810,3LB HEAT & DROUGHT SEED,JONATHAN GREEN,Jonathan Green,$21.99,$17.99,$13.588,
736862,64OZ LQD HUMBIRD NECTAR,WOODSTREAM CORP,More Birds,$9.99,$4.50,$3.671,
738837,"1""X48""X150' PLTRY NET",Acorn and A P P,Acorn International,$179.99,$152.99,$135.202,
739333,3# PACNW GRASS SEED,JONATHAN GREEN,Jonathan Green,$21.99,$18.99,$13.930,
740633,LAKE POND SPIN ROD&REEL,Pure Fishing,Shakespeare,$42.99,$34.49,$27.131,
740666,20LB WILD BIRD SEED,RED RIVER COMMOD,Best Garden,$15.99,$11.19,$7.524,
741196,XL BEEKEEPING SUIT,Harvest Lane Honey,Harvest Lane Honey,$89.99,$79.99,$70.535,
741592,FLYNG INSECT LIGHT TRAP,SC JOHNSON,Stem,$21.99,$17.99,$14.498,
743455,2PK INSECT TRAP REFILL,SC JOHNSON,Stem,$8.99,$6.99,$5.905,
744348,7# BB TALL FESCUE SEED,JONATHAN GREEN,Jonathan Green,$44.99,$39.99,$24.036,
745062,IN-LINE STRAINER,DARE PRODUCTS INC,Dare,$5.99,$4.79,$3.318,
745073,1M TB STARTER FERTILIZER,SCOTTS COMPANY,Scotts,$19.99,$14.99,$12.052,
745082,5M TURF BUILDER STARTER,SCOTTS COMPANY,Scotts,$34.99,$29.99,$26.209,
745830,8OZ GLASS HUMMER FEEDER,WOODSTREAM CORP,Perky-Pet,$15.49,$9.99,$8.305,
747807,"35""X164' ELECTR FNCE NET",DARE PRODUCTS INC,Dare,$169.99,$149.99,$118.902,
749392,10# ORG GARDEN STRAW,Blue Mountain Hay,Blue Mountain Hay,$59.99,$44.99,$27.934,
752194,WASP&HORNET TRAP REFILL,Spectrum Brands HG,Spectracide,$10.49,$8.99,$7.857,
